Wall time,Step,Value
1652431000.463541,450400,-0.7869616746902466
1652431279.2491167,878600,-0.5509095191955566
1652431741.1352537,1307600,-1.9714545011520386
1652432036.1101425,1737000,-0.6813642382621765
1652432481.636617,2166800,-1.8540982007980347
1652432691.414009,2594400,-0.13910657167434692
1652433120.0491753,3021400,-1.7520979642868042
1652433382.1160212,3448800,-0.5029746294021606
1652433834.9794753,3877600,-1.9299675226211548
1652434070.385796,4306000,-0.288104772567749
1652434305.4287524,4733600,-0.2921299338340759
1652434521.726771,5164400,-0.171242818236351
1652434753.0058205,5592000,-0.27399617433547974
1652434997.293271,6018800,-0.36866188049316406
1652435210.7304256,6447600,-0.1530114710330963
1652435426.7912803,6875000,-0.17601686716079712
1652435637.7426498,7306200,-0.1402227133512497
1652435850.445895,7734800,-0.1545887291431427
1652436061.3374884,8163800,-0.14672116935253143
1652436316.654644,8591600,-0.4386783838272095
1652436522.7677298,9022800,-0.1095280647277832
1652436733.7906969,9432200,-0.1866527944803238
1652436949.262047,9861200,-0.1685916930437088
1652437166.6479363,10291800,-0.17754995822906494
1652437378.5036616,10718600,-0.1558050811290741
1652437591.579918,11146800,-0.1576441377401352
1652437800.8874896,11574800,-0.14307427406311035
1652438015.64981,12002600,-0.16817191243171692
1652438230.7931786,12433000,-0.16673840582370758
1652438458.8649607,12859000,-0.25420379638671875
1652438673.7549632,13288800,-0.16396048665046692
1652438889.4603543,13716800,-0.16758139431476593
1652439110.2668877,14145000,-0.19511117041110992
1652439322.0813599,14573600,-0.15426091849803925
1652439548.6927562,15003400,-0.23922115564346313
1652439761.505374,15432400,-0.14909212291240692
1652439968.8070395,15860000,-0.11925753206014633
1652440205.3786657,16289600,-0.3043924570083618
1652440414.4442983,16699000,-0.15991316735744476
1652440663.7815628,17127600,-0.3935171961784363
1652440886.8829544,17559000,-0.20142316818237305
1652441139.6255603,17987400,-0.40288054943084717
1652441350.703969,18390600,-0.19286295771598816
1652441562.9533823,18802800,-0.18297800421714783
1652441786.7896297,19233400,-0.21842539310455322
1652442034.675456,19662400,-0.3718334436416626
1652442248.387196,20073800,-0.19684267044067383
1652442491.5794508,20503200,-0.3485879600048065
1652442713.4755604,20932200,-0.20365071296691895
1652442933.3266082,21361400,-0.1942416876554489
1652443168.6349459,21790400,-0.28916341066360474
1652443432.4930847,22173600,-0.5738126635551453
1652443690.5310402,22601400,-0.4384644329547882
1652443909.9780357,23031800,-0.17855921387672424
1652444132.7675571,23459600,-0.20478548109531403
1652444365.880578,23889400,-0.2860795557498932
1652444574.0295985,24319200,-0.13132640719413757
1652444784.6875963,24722800,-0.17752040922641754
1652445009.505501,25151200,-0.2257082611322403
1652445221.5257163,25580800,-0.14614737033843994
1652445435.2633672,26008200,-0.16387034952640533
1652445659.3933194,26436600,-0.20050013065338135
1652445880.5463054,26868800,-0.200874924659729
1652446089.2605906,27297200,-0.13047102093696594
1652446310.4206724,27724400,-0.21135146915912628
1652446520.1428907,28153400,-0.13995330035686493
1652446816.4457822,28582200,-0.6952145099639893
1652447045.17507,29021200,-0.242348775267601
1652447278.9351263,29450800,-0.26768630743026733
1652447529.2542691,29880000,-0.3780452311038971
1652447829.2609713,30309400,-0.7498063445091248
1652448059.5033908,30710800,-0.2951379716396332
1652448276.1327856,31139200,-0.18081679940223694
1652448606.4167657,31567800,-0.9808242321014404
1652448847.852557,31950400,-0.30174893140792847
1652449315.5170677,32379200,-1.9475325345993042
1652449539.5267217,32782800,-0.11887226998806
1652449756.6587193,33210000,-0.13295169174671173
1652449959.0638223,33593000,-0.16163751482963562
1652450185.3995912,33997200,-0.28084346652030945
1652450402.8246047,34425400,-0.16918812692165375
1652450641.5813708,34829600,-0.19786494970321655
1652450872.3599322,35208400,-0.1560114473104477
1652451081.4868855,35561200,-0.17104041576385498
1652451294.5315657,35989200,-0.15741656720638275
1652451522.665965,36416800,-0.24692192673683167
1652451772.1831315,36809200,-0.3154672384262085
1652451992.8712575,37187600,-0.18992003798484802
1652452219.8013873,37542000,-0.2368950992822647
1652452436.3318107,37919600,-0.13766297698020935
1652452688.0883381,38350200,-0.24195681512355804
1652452950.3735108,38730000,-0.21895694732666016
1652453206.9834812,39082800,-0.1626519411802292
1652453405.8445702,39436800,-0.14836035668849945
1652453621.288822,39864400,-0.16503570973873138
1652453836.6944373,40292200,-0.16264939308166504
1652454085.7983282,40719200,-0.18091151118278503
1652454330.9750566,41096400,-0.27366432547569275
1652454581.5490086,41499200,-0.1769912987947464
1652454818.1521242,41862800,-0.19164855778217316
1652455094.1627505,42293000,-0.26728707551956177
1652455340.7570386,42671600,-0.2710500955581665
1652455565.9453287,43100200,-0.22136981785297394
1652455801.652195,43530400,-0.2868996262550354
1652456020.1620572,43934800,-0.22601965069770813
1652456246.0573192,44365800,-0.22232277691364288
1652456471.7952385,44794000,-0.21890634298324585
1652456693.6752357,45227000,-0.19008174538612366
1652457032.5615547,45655800,-0.985849916934967
1652457247.2163703,46086400,-0.16276031732559204
1652457480.9056115,46514600,-0.2828550934791565
1652457727.590482,46942600,-0.35262981057167053
1652457970.7003515,47372800,-0.32247355580329895
1652458190.995557,47802000,-0.19067834317684174
1652458436.4977298,48234000,-0.3490131199359894
1652458677.738629,48665000,-0.31360018253326416
1652458900.7703345,49069200,-0.22444702684879303
1652459156.9628658,49497400,-0.43964990973472595
1652459447.4256065,49926800,-0.6621126532554626
1652459676.6233861,50334000,-0.2941227853298187
1652459942.0085013,50736600,-0.49822747707366943
1652460184.335748,51174200,-0.3071154057979584
1652460417.3935814,51601600,-0.2794029414653778
1652460665.5054975,52030800,-0.36598458886146545
1652460908.6333888,52461000,-0.33484721183776855
1652461136.8626382,52889600,-0.24542681872844696
1652461373.964225,53323000,-0.2855967581272125
1652461619.7507093,53751600,-0.35105010867118835
1652461856.4188669,54154600,-0.304247111082077
1652462091.071337,54591600,-0.25601181387901306
1652462317.054107,55021800,-0.22535042464733124
1652462575.072645,55453400,-0.4242883026599884
1652462802.7192194,55881400,-0.23963941633701324
1652463038.6172078,56309600,-0.2922494411468506
1652463269.8697028,56742000,-0.24005027115345
1652463491.853419,57171600,-0.19328580796718597
1652463716.1840403,57577000,-0.22977617383003235
1652464005.4518404,58006800,-0.6583359241485596
1652464251.3892217,58435800,-0.3493587076663971
1652464505.6393187,58863400,-0.3949446976184845
1652464772.9033642,59264800,-0.5482560396194458
1652465009.4904969,59695200,-0.28411585092544556
1652465358.6545057,60097200,-1.1152613162994385
1652465569.2937047,60527200,-0.13174037635326385
1652465833.9599497,60931600,-0.47833189368247986
1652466092.5482142,61362800,-0.42503732442855835
1652466319.4930072,61791400,-0.22897209227085114
1652466566.3536828,62220600,-0.3535277545452118
1652466826.0607746,62651400,-0.4433304965496063
1652467060.1962247,63080000,-0.2752952575683594
1652467309.1062868,63510000,-0.3558317720890045
1652467544.0789537,63914000,-0.29834601283073425
1652467769.4158075,64343200,-0.22180157899856567
1652467984.266656,64747000,-0.19404302537441254
1652468203.293212,65176400,-0.18676744401454926
1652468438.1113782,65604800,-0.291922390460968
1652468668.5936594,66013400,-0.2799125015735626
1652469017.229443,66441600,-1.0792146921157837
1652469253.1366162,66869800,-0.28623127937316895
1652469473.9973352,67300200,-0.19292721152305603
1652469720.5359192,67729000,-0.3624843955039978
1652469985.9932957,68157000,-0.48009011149406433
1652470235.6343043,68559800,-0.3805585503578186
1652470468.9585574,68988200,-0.27704566717147827
1652470710.6877358,69421000,-0.31362855434417725
1652470928.0969775,69849000,-0.18339020013809204
1652471153.3887887,70253800,-0.2133171707391739
1652471415.318957,70656600,-0.4859949052333832
1652471642.6315885,71084200,-0.23823890089988708
1652471941.3301609,71516600,-0.7129219174385071
1652472157.553474,71944600,-0.16515308618545532
1652472491.9019651,72373400,-0.9971466064453125
1652472737.3614094,72802600,-0.27769389748573303
1652473055.253447,73232000,-0.8425662517547607
1652473318.968658,73661000,-0.46284735202789307
1652473537.3909094,74089400,-0.18290403485298157
1652473800.6213484,74467400,-0.5245571136474609
1652474025.3674736,74879600,-0.272749125957489
1652474239.7808318,75309600,-0.15303809940814972
1652474483.5716677,75714400,-0.3750453591346741
1652474751.2677054,76144200,-0.5101276636123657
1652474978.5068123,76574400,-0.23770152032375336
1652475202.8712187,76978800,-0.21489541232585907
1652475425.4094477,77408600,-0.20954106748104095
1652475734.2119737,77838000,-0.7749560475349426
1652475966.512012,78268200,-0.26064321398735046
1652476223.259688,78697800,-0.3746280074119568
1652476455.0294666,79129800,-0.2588236629962921
1652476680.1451533,79535200,-0.249712735414505
1652476901.9237053,79963800,-0.2033386528491974
1652477162.439495,80392400,-0.46219271421432495
1652477403.21934,80772000,-0.35202303528785706
1652477631.7041123,81181200,-0.298998087644577
1652477890.7733767,81614600,-0.4298954904079437
1652478111.6842394,82019400,-0.208486869931221
1652478365.3095205,82447800,-0.410006582736969
1652478593.9026108,82875400,-0.2536565065383911
1652478831.3754554,83253000,-0.33840078115463257
1652479057.790334,83686800,-0.1409319043159485
1652479298.3894553,84115400,-0.3299316465854645
1652479520.8587096,84518600,-0.21386076509952545
1652479808.9053395,84946600,-0.6287034749984741
1652480112.6903052,85376200,-0.7427871227264404
1652480369.5829852,85805400,-0.43055790662765503
1652480650.678039,86235600,-0.6032766103744507
1652480890.2085457,86641200,-0.3267424702644348
1652481120.1704314,87069800,-0.2538796067237854
1652481342.6517706,87496400,-0.2146526724100113
1652481614.6613874,87901200,-0.5382868647575378
1652481924.085227,88332600,-0.7679826617240906
1652482186.664363,88760400,-0.4732063114643097
1652482435.8667548,89189200,-0.376259446144104
1652482680.524973,89567600,-0.39127710461616516
1652482923.0689256,89999400,-0.33483824133872986
1652483332.1771865,90403000,-1.5291972160339355
1652483566.9694717,90831200,-0.2899024188518524
1652483781.6332695,91259600,-0.15933862328529358
1652484047.6918154,91689600,-0.5004016757011414
1652484297.7195406,92101800,-0.42265212535858154
1652484566.805749,92530200,-0.4444282352924347
1652484765.9340096,92960400,-0.07655858993530273
1652485020.7814972,93388800,-0.4074523448944092
1652485229.4130473,93817200,-0.13317245244979858
1652485479.783573,94229800,-0.42239102721214294
1652485681.9054804,94608600,-0.1013578400015831
1652485906.0211313,95038200,-0.21058857440948486
1652486157.5368266,95441000,-0.4176444709300995
1652486416.047392,95869400,-0.4389767348766327
1652486690.972698,96299600,-0.5324459075927734
1652486894.9816577,96702200,-0.10304493457078934
1652487133.615813,97131400,-0.29857948422431946
1652487423.81283,97560600,-0.6376290917396545
1652487725.637211,97963600,-0.7084134221076965
1652487972.0955045,98392800,-0.35157689452171326
1652488211.2352343,98821600,-0.3115053176879883
1652488446.8433275,99180200,-0.36750710010528564
1652488742.362949,99607600,-0.7161191701889038
1652489016.2067301,100038400,-0.5400590896606445
1652489240.4654937,100467600,-0.21168996393680573
1652489481.5936863,100894600,-0.31990161538124084
1652489716.9426596,101322600,-0.1956062912940979
1652490041.0090115,101753200,-0.8577678203582764
1652490262.9615777,102135200,-0.23158514499664307
1652490501.1499536,102564800,-0.3097658157348633
1652490782.4925487,102995400,-0.6099842190742493
1652490999.4148552,103399400,-0.199003204703331
1652491243.4974031,103829400,-0.34529322385787964
1652491471.5762076,104238400,-0.2827640175819397
1652491735.8032293,104669800,-0.4596610963344574
1652491982.8164797,105031800,-0.41334179043769836
1652492287.0941718,105459200,-0.6863111853599548
1652492511.3132632,105886600,-0.21703612804412842
1652492786.5700843,106316600,-0.5467779040336609
1652493010.2038817,106745400,-0.21486228704452515
1652493289.289172,107099600,-0.6142916083335876
1652493567.3158069,107530000,-0.5446133017539978
1652493813.4592273,107908600,-0.3892415761947632
1652494066.052879,108337200,-0.4131033718585968
1652494306.0060983,108766600,-0.31595224142074585
1652494538.5664322,109144600,-0.3349960148334503
1652494743.7611005,109573400,-0.11260700225830078
1652494987.24858,110003000,-0.3362955152988434
1652495282.5568671,110433400,-0.5281938910484314
1652495503.3703487,110862200,-0.1990814208984375
1652495731.2298844,111292600,-0.14121779799461365
1652495953.3074896,111720000,-0.21284469962120056
1652496181.2122629,112147600,-0.19546014070510864
1652496418.7103589,112576400,-0.2941248118877411
1652496636.035342,113005000,-0.17198412120342255
1652496900.7382407,113434400,-0.4759466052055359
1652497195.1838026,113862000,-0.712489128112793
1652497428.2867508,114270400,-0.32964903116226196
1652497655.8293183,114623600,-0.2770289182662964
1652497875.6526072,115052200,-0.18976972997188568
1652498106.50547,115481600,-0.2645019292831421
1652498342.3384514,115911200,-0.2890397906303406
1652498579.572748,116341600,-0.29382190108299255
1652498842.2146854,116772000,-0.48403051495552063
