Wall time,Step,Value
1652858906.8803933,346800,-2.022019863128662
1652859182.3798218,679400,-0.24111412465572357
1652859530.9717891,1012000,-0.5196448564529419
1652859917.286105,1347600,-0.6254346370697021
1652860244.158411,1681400,-0.3687264323234558
1652860730.7407396,2013000,-0.8966737985610962
1652861430.2485394,2343600,-1.7322182655334473
1652861977.3720863,2678000,-1.1104285717010498
1652862398.9175677,3011400,-0.6683500409126282
1652863139.7449682,3345800,-1.935182809829712
1652863834.3346434,3679400,-1.7436199188232422
1652864573.6808043,4011200,-1.9556245803833008
1652865200.338916,4340200,-1.434485912322998
1652865938.3034883,4673200,-1.9644956588745117
1652866216.0346572,5004600,-0.19056908786296844
1652866758.1180787,5334000,-1.1270488500595093
1652867380.1000292,5667400,-1.3848830461502075
1652867914.3458579,5999200,-1.084220051765442
1652868604.6672964,6332400,-1.7588040828704834
1652869048.8774555,6666200,-0.7314297556877136
1652869616.7453291,6998600,-1.203230857849121
1652870246.7758608,7329800,-1.5469493865966797
1652870534.1335459,7659800,-0.2174851894378662
1652870832.5432184,7991000,-0.276305615901947
1652871206.238921,8326400,-0.5336796045303345
1652871548.7476437,8657400,-0.41689935326576233
1652871864.2951102,8989800,-0.32084810733795166
1652872430.3997176,9321200,-1.2992039918899536
1652872725.9360862,9653200,-0.2451402097940445
1652873187.5354204,9981400,-0.842007577419281
1652873467.6076956,10311800,-0.20777854323387146
1652873855.1271112,10640800,-0.5769164562225342
1652874355.0669737,10972000,-1.011778712272644
1652874648.5785325,11304400,-0.23652710020542145
1652875079.2667449,11635400,-0.7357011437416077
1652875490.1197777,11964000,-0.6707907915115356
1652875789.494617,12296200,-0.25585266947746277
1652876126.587301,12629000,-0.3936057388782501
1652876462.4134314,12962200,-0.3791719973087311
1652876799.886135,13295400,-0.3875470459461212
1652877191.217162,13628400,-0.5851518511772156
1652877476.2179275,13958800,-0.20814986526966095
1652877809.0126228,14291800,-0.3810512125492096
1652878078.0110984,14624400,-0.16779476404190063
1652878351.172948,14958000,-0.17188453674316406
1652878683.4331098,15290000,-0.381288081407547
1652878960.7316117,15623200,-0.18072490394115448
1652879265.3518577,15956600,-0.2663690447807312
1652879540.9267108,16291200,-0.17783509194850922
1652879819.4253452,16624600,-0.19248610734939575
1652880064.7365956,16956200,-0.09869605302810669
1652880349.1806233,17285600,-0.2244923710823059
1652880617.8900948,17619800,-0.1576223522424698
1652880880.3984034,17955000,-0.13271693885326385
1652881145.6201818,18284000,-0.16470016539096832
1652881436.3287349,18618800,-0.21140643954277039
1652881694.081958,18951600,-0.12229832261800766
1652881958.6013546,19281600,-0.14620016515254974
1652882230.878003,19614200,-0.16910818219184875
1652882502.0975325,19947800,-0.17582586407661438
1652882776.2845588,20279800,-0.17841964960098267
1652883075.701746,20610200,-0.29029709100723267
1652883339.4269476,20945000,-0.15074501931667328
1652883587.379985,21280000,-0.08666786551475525
1652883852.1448128,21613000,-0.14053693413734436
1652884193.8827689,21942000,-0.41536733508110046
1652884543.1112056,22273000,-0.44361379742622375
1652884792.7398252,22608600,-0.10264449566602707
1652885115.18713,22941800,-0.3284545838832855
1652885359.314716,23274000,-0.08590712398290634
1652885638.7708697,23609200,-0.18804624676704407
1652885922.6750832,23916200,-0.24506305158138275
1652886225.5777454,24249400,-0.2721356451511383
1652886498.063019,24579000,-0.1772170215845108
1652886768.0835638,24910400,-0.15646526217460632
1652887033.5365596,25241400,-0.13891637325286865
1652887330.8149247,25576000,-0.23578767478466034
1652887731.6468055,25913600,-0.5786185264587402
1652888060.2704492,26247000,-0.3504026532173157
1652888424.5719557,26584000,-0.4525015652179718
1652888779.0417216,26916800,-0.4271649122238159
1652889103.465803,27251400,-0.3286935091018677
1652889504.668288,27581400,-0.5959248542785645
1652889808.0248716,27915800,-0.2586873769760132
1652890084.7407284,28247000,-0.18159611523151398
1652890395.0724626,28580600,-0.29382145404815674
1652890734.2912374,28910400,-0.394071489572525
1652891037.2176828,29241000,-0.25958383083343506
1652891366.1173155,29574800,-0.3511171340942383
1652891685.075238,29909600,-0.31924566626548767
1652891912.3111336,30239200,-0.05254495516419411
1652892227.4937925,30572400,-0.31289640069007874
1652892607.598849,30905600,-0.5314752459526062
1652892918.2252982,31241200,-0.28680726885795593
1652893221.9714253,31572600,-0.2688838541507721
1652893512.788812,31901800,-0.23610663414001465
1652893796.3353088,32233000,-0.20096930861473083
1652894069.5486712,32566600,-0.16651156544685364
1652894435.6697605,32897200,-0.4802300035953522
1652894734.553875,33205000,-0.2694726586341858
1652895033.42359,33512400,-0.2727947533130646
1652895360.2747297,33845600,-0.338224321603775
1652895654.0744734,34176400,-0.2403487116098404
1652895949.23625,34511000,-0.23702692985534668
1652896225.0601473,34844800,-0.17794260382652283
1652896505.9582152,35179000,-0.19179582595825195
1652896803.1527557,35512000,-0.24965910613536835
1652897102.0622628,35842800,-0.26196998357772827
1652897380.024351,36176000,-0.1854761391878128
1652897665.017674,36509200,-0.2103477567434311
1652897945.2760332,36814200,-0.20940198004245758
1652898284.6892283,37147800,-0.3831900358200073
1652898542.2530928,37479200,-0.1255365014076233
1652898807.7778869,37811600,-0.15667100250720978
1652899072.2711046,38140600,-0.15308967232704163
1652899348.7203639,38469600,-0.18881946802139282
1652899608.6354432,38777400,-0.1438768357038498
1652899895.202155,39087000,-0.22542253136634827
1652900149.1145728,39419600,-0.11350557953119278
1652900481.985051,39749800,-0.40054094791412354
1652900750.542063,40084600,-0.15663999319076538
1652901017.1412983,40418400,-0.14867912232875824
1652901264.8266754,40752600,-0.10394784808158875
1652901534.3179798,41084600,-0.16134361922740936
1652901811.0083573,41413200,-0.1893993318080902
1652902084.612014,41746200,-0.16905048489570618
1652902365.396704,42078400,-0.19427858293056488
1652902638.710426,42408800,-0.16673900187015533
1652902909.1843622,42740000,-0.16753695905208588
1652903161.9140728,43072800,-0.09763655066490173
1652903446.6618617,43408200,-0.20967164635658264
1652903725.3682156,43740000,-0.19018428027629852
1652904000.0775807,44074800,-0.17939044535160065
1652904269.945107,44381400,-0.1843111217021942
1652904575.121029,44712800,-0.2820916771888733
1652904869.0969944,45043600,-0.24508029222488403
1652905161.5045447,45376800,-0.21748453378677368
1652905435.9170136,45705200,-0.17105235159397125
1652905735.8962495,46038400,-0.2577472925186157
1652906013.362259,46369800,-0.18743771314620972
1652906292.1234848,46706800,-0.1727125644683838
1652906556.658477,47036600,-0.14502571523189545
1652906821.4399061,47366800,-0.14948353171348572
1652907108.3283212,47700400,-0.2156326025724411
1652907409.9130821,48032200,-0.2589936852455139
1652907685.9564962,48366000,-0.18014055490493774
1652907983.6323314,48697800,-0.25687065720558167
1652908249.6876073,49029600,-0.14654454588890076
1652908533.5595148,49359000,-0.20319338142871857
1652908795.5129793,49690800,-0.14274781942367554
1652909100.8266573,50025000,-0.2728545665740967
1652909385.3520927,50358200,-0.20093081891536713
1652909673.220966,50690600,-0.2154526710510254
1652909949.985993,51023600,-0.17903725802898407
1652910218.8808923,51353000,-0.16060851514339447
1652910511.9188137,51687000,-0.22786979377269745
1652910851.0131204,52016600,-0.397249698638916
1652911182.6591187,52323600,-0.3741033971309662
1652911503.7950685,52631400,-0.3434256911277771
1652911818.8216655,52964200,-0.30502864718437195
1652912109.2313805,53296400,-0.2323017120361328
1652912368.4270272,53603800,-0.14689096808433533
1652912754.4150167,53935800,-0.5473873019218445
1652913053.896284,54269800,-0.2586723268032074
1652913405.1970282,54600600,-0.42920300364494324
1652913672.6324115,54931400,-0.15801440179347992
1652913949.3896773,55264000,-0.18146434426307678
1652914321.576078,55593000,-0.5130195021629333
1652914614.951993,55924800,-0.2374575287103653
1652914945.3403366,56256200,-0.3600405752658844
1652915258.1764188,56588600,-0.29985642433166504
1652915588.439304,56919000,-0.3609178066253662
1652915876.974546,57249800,-0.2238224893808365
1652916180.1761749,57581000,-0.2797830402851105
1652916478.7909493,57911600,-0.25887051224708557
1652916766.685,58242400,-0.21732185781002045
1652917056.7743602,58574000,-0.22977255284786224
1652917349.9500535,58903600,-0.2462921440601349
1652917630.9296544,59236200,-0.20403704047203064
1652918005.866528,59571400,-0.5060046315193176
1652918280.5205374,59878800,-0.1699567586183548
1652918564.5240402,60211800,-0.20938663184642792
1652918821.3820598,60546000,-0.11828609555959702
1652919463.823343,60850800,-1.5583783388137817
1652919761.4530082,61183600,-0.24790813028812408
1652920066.6072571,61516600,-0.25544944405555725
1652920422.6991098,61848200,-0.4605620503425598
1652920706.164405,62181600,-0.20265129208564758
1652921006.3271844,62515400,-0.22502899169921875
1652921299.6926312,62846000,-0.23639792203903198
1652921773.1978667,63151800,-0.8908668160438538
1652922073.4011078,63481400,-0.2679286003112793
1652922359.185599,63810800,-0.21731317043304443
1652922688.0466855,64119000,-0.37942150235176086
1652923059.1795034,64451400,-0.5000262260437012
1652923385.213732,64783800,-0.30066174268722534
1652923737.7907968,65116200,-0.44188642501831055
1652924054.4779348,65448600,-0.3220043182373047
1652924439.6075785,65784800,-0.5419200658798218
1652924715.4274936,66117600,-0.16647574305534363
1652924995.5420856,66448600,-0.19866937398910522
1652925285.7372725,66756400,-0.23592977225780487
1652925580.840421,67090800,-0.24024337530136108
1652925866.751748,67399600,-0.21551187336444855
1652926196.2346325,67731600,-0.3654406666755676
