Wall time,Step,Value
1652858906.8798451,346800,0.0
1652859182.378977,679400,0.5
1652859530.9715931,1012000,0.800000011920929
1652859917.2854872,1347600,0.5899999737739563
1652860244.1582103,1681400,0.30000001192092896
1652860730.740064,2013000,0.10000000149011612
1652861430.2484195,2343600,0.019999999552965164
1652861977.3712006,2678000,0.17000000178813934
1652862398.9168768,3011400,0.15000000596046448
1652863139.7448192,3345800,0.019999999552965164
1652863834.3344421,3679400,0.17000000178813934
1652864573.6802416,4011200,0.029999999329447746
1652865200.3381212,4340200,0.05000000074505806
1652865938.3025227,4673200,0.009999999776482582
1652866216.0341675,5004600,0.15000000596046448
1652866758.116999,5334000,0.10999999940395355
1652867380.0998793,5667400,0.10999999940395355
1652867914.3446624,5999200,0.10000000149011612
1652868604.6671507,6332400,0.20999999344348907
1652869048.876603,6666200,0.019999999552965164
1652869616.7448323,6998600,0.029999999329447746
1652870246.7754219,7329800,0.36000001430511475
1652870534.1331208,7659800,0.05999999865889549
1652870832.5422182,7991000,0.20999999344348907
1652871206.2383897,8326400,0.10999999940395355
1652871548.7475226,8657400,0.12999999523162842
1652871864.2949069,8989800,0.03999999910593033
1652872430.3989024,9321200,0.15000000596046448
1652872725.935446,9653200,0.019999999552965164
1652873187.534754,9981400,0.019999999552965164
1652873467.6075525,10311800,0.10999999940395355
1652873855.1264243,10640800,0.009999999776482582
1652874355.0667639,10972000,0.07000000029802322
1652874648.5775342,11304400,0.05000000074505806
1652875079.2659738,11635400,0.05999999865889549
1652875490.119634,11964000,0.05000000074505806
1652875789.49403,12296200,0.05000000074505806
1652876126.5867593,12629000,0.03999999910593033
1652876462.4132874,12962200,0.03999999910593033
1652876799.8856764,13295400,0.029999999329447746
1652877191.21674,13628400,0.019999999552965164
1652877476.2177846,13958800,0.029999999329447746
1652877809.0122845,14291800,0.03999999910593033
1652878078.010954,14624400,0.12999999523162842
1652878351.1712117,14958000,0.07000000029802322
1652878683.4328492,15290000,0.07999999821186066
1652878960.7309268,15623200,0.019999999552965164
1652879265.3503726,15956600,0.05999999865889549
1652879540.9265928,16291200,0.12999999523162842
1652879819.424534,16624600,0.10999999940395355
1652880064.7355752,16956200,0.1899999976158142
1652880349.1798475,17285600,0.1599999964237213
1652880617.889465,17619800,0.05999999865889549
1652880880.397594,17955000,0.05999999865889549
1652881145.6195438,18284000,0.11999999731779099
1652881436.3282368,18618800,0.029999999329447746
1652881694.081652,18951600,0.10000000149011612
1652881958.600739,19281600,0.029999999329447746
1652882230.8773475,19614200,0.07999999821186066
1652882502.0969205,19947800,0.10999999940395355
1652882776.284121,20279800,0.09000000357627869
1652883075.7011595,20610200,0.14000000059604645
1652883339.4263232,20945000,0.14000000059604645
1652883587.3793726,21280000,0.15000000596046448
1652883852.1446598,21613000,0.07999999821186066
1652884193.882644,21942000,0.05000000074505806
1652884543.110748,22273000,0.14000000059604645
1652884792.739185,22608600,0.15000000596046448
1652885115.1867957,22941800,0.07000000029802322
1652885359.3142078,23274000,0.15000000596046448
1652885638.7701821,23609200,0.03999999910593033
1652885922.674939,23916200,0.15000000596046448
1652886225.5768025,24249400,0.07999999821186066
1652886498.0625412,24579000,0.11999999731779099
1652886768.0834124,24910400,0.03999999910593033
1652887033.5359907,25241400,0.07999999821186066
1652887330.8144236,25576000,0.05000000074505806
1652887731.646194,25913600,0.019999999552965164
1652888060.2702472,26247000,0.07999999821186066
1652888424.5716991,26584000,0.05000000074505806
1652888779.041578,26916800,0.10999999940395355
1652889103.4652462,27251400,0.07999999821186066
1652889504.6676824,27581400,0.10000000149011612
1652889808.0246558,27915800,0.07000000029802322
1652890084.7400303,28247000,0.05999999865889549
1652890395.071839,28580600,0.05999999865889549
1652890734.2906733,28910400,0.029999999329447746
1652891037.2167962,29241000,0.07000000029802322
1652891366.1168163,29574800,0.09000000357627869
1652891685.0746498,29909600,0.05999999865889549
1652891912.3109884,30239200,0.25999999046325684
1652892227.493523,30572400,0.10000000149011612
1652892607.5982497,30905600,0.05999999865889549
1652892918.2248054,31241200,0.03999999910593033
1652893221.9708025,31572600,0.03999999910593033
1652893512.7883382,31901800,0.07999999821186066
1652893796.3345242,32233000,0.03999999910593033
1652894069.5485535,32566600,0.03999999910593033
1652894435.669005,32897200,0.029999999329447746
1652894734.553229,33205000,0.07999999821186066
1652895033.4230485,33512400,0.07000000029802322
1652895360.2742403,33845600,0.09000000357627869
1652895654.073871,34176400,0.05999999865889549
1652895949.2361274,34511000,0.07000000029802322
1652896225.0595841,34844800,0.07000000029802322
1652896505.9580147,35179000,0.07999999821186066
1652896803.151717,35512000,0.07999999821186066
1652897102.0615904,35842800,0.11999999731779099
1652897380.0238636,36176000,0.07999999821186066
1652897665.017065,36509200,0.05000000074505806
1652897945.275259,36814200,0.07999999821186066
1652898284.6890264,37147800,0.10000000149011612
1652898542.252949,37479200,0.10000000149011612
1652898807.7774036,37811600,0.20000000298023224
1652899072.2700808,38140600,0.10000000149011612
1652899348.72024,38469600,0.10000000149011612
1652899608.6349862,38777400,0.07999999821186066
1652899895.2013214,39087000,0.05999999865889549
1652900149.1138089,39419600,0.09000000357627869
1652900481.9848492,39749800,0.11999999731779099
1652900750.5419412,40084600,0.09000000357627869
1652901017.1410506,40418400,0.11999999731779099
1652901264.8265262,40752600,0.20999999344348907
1652901534.317475,41084600,0.10999999940395355
1652901811.0082307,41413200,0.07000000029802322
1652902084.6114247,41746200,0.10999999940395355
1652902365.3960805,42078400,0.05999999865889549
1652902638.7098646,42408800,0.07999999821186066
1652902909.1841571,42740000,0.09000000357627869
1652903161.913949,43072800,0.09000000357627869
1652903446.66166,43408200,0.10000000149011612
1652903725.3675244,43740000,0.05999999865889549
1652904000.0769002,44074800,0.11999999731779099
1652904269.9449797,44381400,0.10999999940395355
1652904575.1207976,44712800,0.10000000149011612
1652904869.096873,45043600,0.019999999552965164
1652905161.504168,45376800,0.05999999865889549
1652905435.916304,45705200,0.029999999329447746
1652905735.89613,46038400,0.029999999329447746
1652906013.3616347,46369800,0.03999999910593033
1652906292.1233597,46706800,0.05999999865889549
1652906556.6582487,47036600,0.05000000074505806
1652906821.4393768,47366800,0.10000000149011612
1652907108.3281076,47700400,0.07000000029802322
1652907409.912882,48032200,0.05000000074505806
1652907685.9559236,48366000,0.05999999865889549
1652907983.631771,48697800,0.03999999910593033
1652908249.6865923,49029600,0.03999999910593033
1652908533.5590556,49359000,0.07999999821186066
1652908795.512775,49690800,0.12999999523162842
1652909100.8261392,50025000,0.05000000074505806
1652909385.3512347,50358200,0.03999999910593033
1652909673.2208216,50690600,0.03999999910593033
1652909949.9855306,51023600,0.07999999821186066
1652910218.8807416,51353000,0.07000000029802322
1652910511.918148,51687000,0.07000000029802322
1652910851.0129774,52016600,0.05000000074505806
1652911182.6589632,52323600,0.07000000029802322
1652911503.7945416,52631400,0.10000000149011612
1652911818.8215194,52964200,0.029999999329447746
1652912109.2306685,53296400,0.05000000074505806
1652912368.4261904,53603800,0.10000000149011612
1652912754.4143891,53935800,0.029999999329447746
1652913053.895606,54269800,0.05000000074505806
1652913405.1969078,54600600,0.009999999776482582
1652913672.632269,54931400,0.07999999821186066
1652913949.3887112,55264000,0.05999999865889549
1652914321.5753653,55593000,0.019999999552965164
1652914614.9518447,55924800,0.09000000357627869
1652914945.339419,56256200,0.07000000029802322
1652915258.1758003,56588600,0.09000000357627869
1652915588.4390411,56919000,0.05999999865889549
1652915876.9738588,57249800,0.07000000029802322
1652916180.1759365,57581000,0.14000000059604645
1652916478.7908297,57911600,0.10999999940395355
1652916766.6847973,58242400,0.03999999910593033
1652917056.7737093,58574000,0.07000000029802322
1652917349.9491508,58903600,0.10999999940395355
1652917630.9288664,59236200,0.17000000178813934
1652918005.8660703,59571400,0.07000000029802322
1652918280.5198648,59878800,0.07000000029802322
