Wall time,Step,Value
1657019142.3858445,358600,2052.0
1657019419.188017,692800,491.05999755859375
1657019828.0609727,1031200,1112.2900390625
1657020437.3226051,1374600,2052.0
1657020642.0223918,1717000,153.24000549316406
1657021095.800808,2049600,1336.3499755859375
1657021539.3470008,2384600,1264.7099609375
1657022147.146454,2719400,2034.010009765625
1657022754.2601829,3062600,2021.25
1657023335.5943282,3399800,1910.530029296875
1657023943.0630667,3732000,2052.0
1657024547.9116135,4064600,2023.300048828125
1657025139.9827986,4400400,1962.469970703125
1657025549.3544264,4738600,1100.699951171875
1657026158.5209286,5078000,2030.5999755859375
1657026706.8893647,5408000,1768.22998046875
1657027039.5825882,5740400,756.489990234375
1657027609.3743382,6077400,1861.699951171875
1657028210.349999,6414600,2012.25
1657028713.369854,6749800,1558.510009765625
1657029006.9014401,7090200,565.0900268554688
1657029293.2022355,7432600,522.8400268554688
1657029561.0595813,7771000,448.7900085449219
1657029796.0710907,8102800,309.4700012207031
1657030090.6085987,8445000,562.72998046875
1657030650.3625917,8786200,1815.97998046875
1657030938.770548,9120800,550.97998046875
1657031205.376085,9455400,443.6000061035156
1657031448.252468,9797400,320.9100036621094
1657031748.4872293,10138000,588.2899780273438
1657031983.9202127,10478200,287.6000061035156
1657032213.9678695,10820400,262.57000732421875
1657032778.4433973,11153200,1855.7099609375
1657033352.6587644,11491000,1874.68994140625
1657033596.0341501,11834000,316.17999267578125
1657034117.2074533,12172800,1620.6500244140625
1657034351.5787616,12511800,287.4800109863281
1657034614.990674,12846200,431.54998779296875
1657035168.3314419,13188400,1765.6099853515625
1657035410.0475655,13526200,322.8299865722656
1657035681.604502,13865800,458.75
1657035902.8439782,14202200,233.69000244140625
1657036174.5274928,14537800,472.04998779296875
1657036762.8387527,14879200,1932.9599609375
1657037032.6608913,15215600,464.2699890136719
1657037279.208739,15552000,349.6300048828125
1657037545.514245,15894000,427.9200134277344
1657037839.8239987,16228800,575.489990234375
1657038249.3746789,16565200,1106.969970703125
1657038525.7926168,16905400,476.82000732421875
1657038864.8360627,17245600,778.239990234375
1657039118.9563076,17584800,375.739990234375
1657039387.2682297,17921600,450.05999755859375
1657039894.3931036,18260200,1566.81005859375
1657040142.4825323,18594400,356.9700012207031
1657040400.5066233,18937600,389.5299987792969
1657040923.5230901,19277800,1640.760009765625
1657041205.9024684,19621000,499.80999755859375
1657041590.767048,19958800,989.0599975585938
1657041866.870351,20298600,479.8299865722656
1657042109.3974044,20641200,318.67999267578125
1657042385.2143173,20981600,475.3800048828125
1657042636.3215814,21317800,366.2200012207031
1657042887.1109838,21655400,365.5
1657043143.7719114,21993800,389.8399963378906
1657043388.7109694,22329000,347.1700134277344
1657043630.8191905,22664000,333.2200012207031
1657043887.9638243,23006600,384.6400146484375
1657044502.1670916,23346600,2052.0
1657044764.2021143,23686400,411.29998779296875
1657045060.9227047,24026600,545.27001953125
1657045393.4325237,24366400,695.1099853515625
1657045657.6742854,24653800,430.489990234375
1657045965.4873347,24937200,436.5400085449219
1657046302.2148323,25273600,759.6500244140625
1657046603.5789526,25613800,590.8300170898438
1657046882.8081126,25950000,496.1099853515625
1657047159.620693,26284600,489.70001220703125
1657047459.341533,26624800,580.8499755859375
1657047720.8225756,26962400,411.8800048828125
1657048012.3258307,27301200,550.0
1657048332.845486,27639000,683.7000122070312
1657048572.9323504,27977000,311.010009765625
1657048858.979599,28313400,527.760009765625
1657049313.0241637,28655200,1300.6600341796875
1657049600.7326763,28993000,538.280029296875
1657049873.8056498,29331200,464.4700012207031
1657050121.3827477,29670400,342.6400146484375
1657050427.8756096,30006600,625.8400268554688
1657050694.2469175,30346000,431.6099853515625
1657050980.292535,30684200,519.9000244140625
1657051224.1586106,31019800,341.1600036621094
1657051479.1619804,31358200,381.30999755859375
1657051761.081017,31697600,502.6700134277344
1657052024.9939208,32034400,424.510009765625
1657052301.5976834,32372800,482.1400146484375
