indirect_braking[kN]:,vitesse[km/h]:-5.0,vitesse[km/h]:0.0,vitesse[km/h]:5.0,vitesse[km/h]:10.0,vitesse[km/h]:15.0,vitesse[km/h]:20.0,vitesse[km/h]:25.0,vitesse[km/h]:30.0,vitesse[km/h]:35.0,vitesse[km/h]:40.0,vitesse[km/h]:45.0,vitesse[km/h]:50.0,vitesse[km/h]:55.0,vitesse[km/h]:60.0,vitesse[km/h]:65.0,vitesse[km/h]:70.0,vitesse[km/h]:75.0,vitesse[km/h]:80.0,vitesse[km/h]:85.0,vitesse[km/h]:90.0,vitesse[km/h]:95.0,vitesse[km/h]:100.0
RE[bar]:4.055,54.931,54.931,54.931,53.22,51.426,49.745,48.344,47.311,46.638,46.249,46.029,45.869,45.686,45.436,45.109,44.726,44.32,43.928,43.578,43.289,43.068,42.912
RE[bar]:4.07,54.303,54.303,54.303,52.595,50.805,49.13,47.735,46.707,46.039,45.651,45.431,45.27,45.086,44.836,44.512,44.131,43.728,43.336,42.985,42.693,42.468,42.307
RE[bar]:4.085,53.667,53.667,53.667,51.964,50.182,48.516,47.131,46.112,45.449,45.064,44.843,44.678,44.491,44.239,43.915,43.536,43.133,42.74,42.385,42.087,41.855,41.688
RE[bar]:4.1,53.023,53.023,53.023,51.327,49.556,47.904,46.533,45.525,44.87,44.487,44.263,44.094,43.902,43.647,43.322,42.943,42.539,42.143,41.782,41.477,41.237,41.062
RE[bar]:4.115,52.371,52.371,52.371,50.686,48.93,47.295,45.942,44.948,44.301,43.92,43.693,43.517,43.319,43.06,42.733,42.353,41.948,41.549,41.183,40.87,40.621,40.439
RE[bar]:4.13,51.712,51.712,51.712,50.04,48.302,46.689,45.357,44.38,43.743,43.363,43.132,42.949,42.743,42.479,42.15,41.77,41.365,40.963,40.592,40.273,40.017,39.829
RE[bar]:4.145,51.047,51.047,51.047,49.39,47.674,46.086,44.778,43.821,43.195,42.817,42.581,42.389,42.175,41.905,41.574,41.195,40.791,40.389,40.016,39.693,39.432,39.238
RE[bar]:4.16,50.374,50.374,50.374,48.736,47.045,45.486,44.206,43.27,42.656,42.281,42.039,41.838,41.615,41.339,41.007,40.63,40.23,39.831,39.459,39.134,38.871,38.674
RE[bar]:4.175,49.695,49.695,49.695,48.078,46.416,44.889,43.64,42.727,42.127,41.754,41.506,41.294,41.062,40.782,40.45,40.077,39.683,39.291,38.924,38.602,38.34,38.143
RE[bar]:4.219,49.009,49.009,49.009,47.416,45.786,44.295,43.079,42.192,41.606,41.236,40.981,40.76,40.518,40.233,39.902,39.536,39.152,38.77,38.412,38.098,37.841,37.647
