traction[kN]:,vitesse[km/h]:-5,vitesse[km/h]:0,vitesse[km/h]:5,vitesse[km/h]:10,vitesse[km/h]:15,vitesse[km/h]:20,vitesse[km/h]:25,vitesse[km/h]:30,vitesse[km/h]:35,vitesse[km/h]:40,vitesse[km/h]:45,vitesse[km/h]:50,vitesse[km/h]:55,vitesse[km/h]:60,vitesse[km/h]:65,vitesse[km/h]:70,vitesse[km/h]:75,vitesse[km/h]:80,vitesse[km/h]:85,vitesse[km/h]:90,vitesse[km/h]:95,vitesse[km/h]:100
consigne[%]:30,86.856,86.856,86.856,84.867,82.757,80.884,79.172,77.428,75.7,74.23,73.326,72.765,72.127,70.861,68.141,64.275,60.314,56.396,52.114,48.099,44.523,41.614
consigne[%]:31,88.95,88.95,88.95,87.269,85.43,83.677,81.957,80.114,78.272,76.701,75.726,75.137,74.479,73.139,70.3,66.306,62.214,58.167,53.763,49.617,45.912,42.912
consigne[%]:32,91.053,91.053,91.053,89.676,88.102,86.471,84.742,82.801,80.843,79.172,78.126,77.508,76.831,75.416,72.46,68.336,64.113,59.939,55.411,51.135,47.3,44.209
consigne[%]:33,93.166,93.166,93.166,92.086,90.776,89.264,87.528,85.487,83.414,81.643,80.527,79.88,79.183,77.694,74.62,70.367,66.012,61.71,57.06,52.653,48.689,45.507
consigne[%]:34,95.293,95.293,95.293,94.503,93.451,92.057,90.313,88.173,85.985,84.114,82.927,82.252,81.535,79.972,76.78,72.397,67.911,63.482,58.708,54.171,50.077,46.804
consigne[%]:35,97.444,97.444,97.444,96.93,96.128,94.85,93.098,90.86,88.557,86.585,85.327,84.623,83.887,82.25,78.94,74.428,69.811,65.253,60.357,55.689,51.466,48.102
consigne[%]:36,99.632,99.632,99.632,99.372,98.808,97.644,95.883,93.546,91.128,89.056,87.727,86.995,86.239,84.528,81.1,76.458,71.71,67.025,62.005,57.206,52.854,49.399
consigne[%]:37,101.875,101.875,101.875,101.839,101.493,100.438,98.668,96.232,93.699,91.527,90.127,89.367,88.591,86.806,83.259,78.489,73.609,68.796,63.654,58.724,54.242,50.697
consigne[%]:38,104.191,104.191,104.191,104.337,104.183,103.232,101.453,98.919,96.271,93.998,92.528,91.738,90.943,89.084,85.419,80.519,75.508,70.568,65.303,60.242,55.631,51.994
consigne[%]:39,106.592,106.592,106.592,106.871,106.881,106.027,104.239,101.605,98.842,96.469,94.928,94.11,93.295,91.362,87.579,82.55,77.408,72.339,66.951,61.76,57.019,53.292
consigne[%]:40,109.085,109.085,109.085,109.445,109.587,108.823,107.024,104.291,101.413,98.94,97.328,96.482,95.647,93.64,89.739,84.58,79.307,74.11,68.6,63.278,58.408,54.589
consigne[%]:41,111.663,111.663,111.663,112.055,112.299,111.619,109.809,106.978,103.984,101.41,99.728,98.853,97.999,95.918,91.899,86.611,81.206,75.882,70.248,64.796,59.796,55.887
consigne[%]:42,114.314,114.314,114.314,114.697,115.018,114.416,112.594,109.664,106.556,103.881,102.128,101.225,100.351,98.196,94.059,88.641,83.106,77.653,71.897,66.313,61.185,57.184
consigne[%]:43,117.019,117.019,117.019,117.362,117.742,117.213,115.38,112.35,109.127,106.352,104.528,103.597,102.703,100.474,96.219,90.672,85.005,79.425,73.545,67.831,62.573,58.482
consigne[%]:44,119.763,119.763,119.763,120.045,120.469,120.01,118.165,115.037,111.698,108.823,106.929,105.968,105.055,102.752,98.378,92.702,86.904,81.196,75.194,69.349,63.962,59.779
consigne[%]:45,122.53,122.53,122.53,122.738,123.199,122.808,120.95,117.723,114.269,111.294,109.329,108.34,107.407,105.029,100.538,94.733,88.803,82.968,76.842,70.867,65.35,61.077
consigne[%]:46,125.31,125.31,125.31,125.44,125.932,125.606,123.736,120.409,116.841,113.765,111.729,110.712,109.759,107.307,102.698,96.763,90.703,84.739,78.491,72.385,66.739,62.375
consigne[%]:47,128.099,128.099,128.099,128.15,128.669,128.405,126.521,123.096,119.412,116.236,114.129,113.083,112.111,109.585,104.858,98.794,92.602,86.511,80.139,73.902,68.127,63.672
consigne[%]:48,130.896,130.896,130.896,130.871,131.412,131.206,129.307,125.782,121.983,118.707,116.529,115.455,114.463,111.863,107.018,100.824,94.501,88.282,81.788,75.42,69.516,64.97
consigne[%]:49,133.7,133.7,133.7,133.605,134.165,134.008,132.092,128.468,124.555,121.178,118.93,117.827,116.815,114.141,109.178,102.855,96.4,90.054,83.436,76.938,70.904,66.267
consigne[%]:50,136.513,136.513,136.513,136.359,136.929,136.814,134.878,131.155,127.126,123.649,121.33,120.198,119.167,116.419,111.337,104.885,98.3,91.825,85.085,78.456,72.293,67.565
consigne[%]:51,139.337,139.337,139.337,139.134,139.706,139.622,137.664,133.841,129.697,126.12,123.73,122.57,121.519,118.697,113.497,106.916,100.199,93.597,86.734,79.974,73.681,68.862
