dynamic_braking[kN]:,vitesse[km/h]:-5,vitesse[km/h]:0,vitesse[km/h]:5,vitesse[km/h]:10,vitesse[km/h]:15,vitesse[km/h]:20,vitesse[km/h]:25,vitesse[km/h]:30,vitesse[km/h]:35,vitesse[km/h]:40,vitesse[km/h]:45,vitesse[km/h]:50,vitesse[km/h]:55,vitesse[km/h]:60,vitesse[km/h]:65,vitesse[km/h]:70,vitesse[km/h]:75,vitesse[km/h]:80,vitesse[km/h]:85,vitesse[km/h]:90,vitesse[km/h]:95,vitesse[km/h]:100
consigne[%]:67,87.382,87.382,87.382,86.063,74.009,73.865,81.201,81.049,75.554,75.401,77.297,77.725,78.006,78.286,78.566,78.847,79.127,79.477,79.931,80.432,80.829,80.571
consigne[%]:68,87.878,87.878,87.878,86.139,74.166,73.488,82.058,81.906,76.168,76.015,78.365,78.916,79.199,79.479,79.76,80.04,80.32,80.679,81.132,81.632,82.045,81.794
consigne[%]:69,88.345,88.345,88.345,86.147,74.267,73.02,82.9,82.748,76.791,76.638,79.374,80.106,80.392,80.672,80.953,81.233,81.513,81.88,82.334,82.832,83.258,83.018
consigne[%]:70,88.789,88.789,88.789,86.114,74.337,72.508,83.735,83.583,77.428,77.275,80.311,81.29,81.585,81.866,82.146,82.426,82.707,83.082,83.536,84.032,84.468,84.241
consigne[%]:71,89.206,89.206,89.206,86.06,74.394,71.992,84.573,84.421,78.084,77.931,81.173,82.462,82.779,83.059,83.339,83.62,83.9,84.284,84.737,85.233,85.676,85.465
consigne[%]:72,89.586,89.586,89.586,85.998,74.454,71.514,85.425,85.273,78.775,78.622,81.967,83.615,83.972,84.252,84.532,84.813,85.093,85.485,85.939,86.433,86.881,86.688
consigne[%]:73,89.909,89.909,89.909,85.936,74.53,71.114,86.301,86.149,79.52,79.367,82.706,84.735,85.164,85.445,85.726,86.006,86.286,86.687,87.14,87.633,88.084,87.912
consigne[%]:74,90.15,90.15,90.15,85.878,74.633,70.836,87.213,87.061,80.343,80.19,83.408,85.808,86.356,86.639,86.919,87.199,87.48,87.888,88.342,88.833,89.285,89.135
consigne[%]:75,90.287,90.287,90.287,85.828,74.772,70.718,88.174,88.022,81.267,81.114,84.097,86.82,87.546,87.832,88.112,88.392,88.674,89.09,89.544,90.033,90.486,90.358
consigne[%]:76,90.301,90.301,90.301,85.787,74.955,70.787,89.191,89.039,82.31,82.157,84.796,87.761,88.73,89.025,89.305,89.586,89.868,90.292,90.745,91.233,91.687,91.582
consigne[%]:77,90.188,90.188,90.188,85.756,75.183,71.054,90.267,90.115,83.477,83.324,85.532,88.63,89.903,90.218,90.499,90.779,91.062,91.493,91.947,92.434,92.887,92.805
consigne[%]:78,89.954,89.954,89.954,85.734,75.453,71.504,91.398,91.246,84.76,84.607,86.332,89.436,91.057,91.411,91.692,91.972,92.258,92.695,93.148,93.634,94.087,94.029
consigne[%]:79,89.621,89.621,89.621,85.719,75.758,72.108,92.575,92.424,86.14,85.987,87.22,90.199,92.178,92.604,92.885,93.165,93.454,93.896,94.35,94.834,95.287,95.252
consigne[%]:80,89.213,89.213,89.213,85.71,76.091,72.828,93.787,93.635,87.592,87.44,88.213,90.945,93.255,93.796,94.078,94.359,94.652,95.098,95.552,96.034,96.488,96.476
consigne[%]:81,88.756,88.756,88.756,85.705,76.441,73.623,95.02,94.869,89.093,88.941,89.321,91.707,94.273,94.986,95.271,95.552,95.851,96.3,96.753,97.234,97.688,97.699
consigne[%]:82,88.274,88.274,88.274,85.702,76.802,74.46,96.264,96.113,90.62,90.469,90.54,92.518,95.226,96.17,96.465,96.745,97.05,97.501,97.955,98.434,98.888,98.923
consigne[%]:83,87.785,87.785,87.785,85.698,77.17,75.312,97.508,97.359,92.158,92.009,91.857,93.407,96.12,97.344,97.658,97.938,98.251,98.703,99.156,99.635,100.088,100.146
